Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Processing Error Alarm,4G-DHA016M-PYN(490799),"Equipment=1,Rack(MO SDR)=1","","",Baseband unit is being initialized(198097050),"1. A user executes a dynamic command, which results in the reset of the main control board. 2. The base station is being upgraded. 3. A software error occurs, which results in the reset of the main control board. 4. The base station is power-off reset.",2023-07-04 07:49:10,"",ME(MO SDR),Reset reason code: 101; L eNBId:490799,Unacknowledged,"","","","","","","",LTE FDD,1,1662661136686,10.225.125.82,"","MO SDR_OMMB2_VNPT,PYN(49000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",490799,4G-DHA016M-PYN,SDR,490799,4G-DHA016M-PYN,"","product:public,ltefdd",fddid=490799#fdduserlabel=4G-DHA016M-PYN#fddfid=490799,Baseband unit is being initialized,""
Major,Equipment Alarm,3G_DPO024M_QNI(110),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Board communication link interrupted(198097060),The link between this board and master main control board is faulty.,2023-07-04 07:49:32,"",ME(MO SDR),U RNCId: 3351; MCU link; Downlink break; U nodeBId:110,Unacknowledged,"","","","","","","",UMTS,42398,1662661136687,10.248.195.171,"","MO_OMCB_RNC_3351Z_QNI,Subnet(MO SDR)(3351)",MO_OMCB_RNC_3351Z_QNI,Platform Alarm,"","",110,3G_DPO024M_QNI,SDR,110,3G_DPO024M_QNI,SA,"product:public,wcdma",uid=110#uuserlabel=NodeBO_Pho-Nhon_QNI#ufid=110,Board communication link interrupted,""
Major,Processing Error Alarm,4G-SHA005M-PYN(490110),"Equipment=1,Rack(MO SDR)=1","","",Baseband unit is being initialized(198097050),"1. A user executes a dynamic command, which results in the reset of the main control board. 2. The base station is being upgraded. 3. A software error occurs, which results in the reset of the main control board. 4. The base station is power-off reset.",2023-07-04 07:49:15,"",ME(MO SDR),"G BSCId: 351; U RNCId: 3007; Whole table configuration reset; U nodeBId:263,G siteId:134,L eNBId:490110",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",1,1662661136688,10.225.123.29,"","MO SDR_OMMB2_VNPT,PYN(49000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",490110,4G-SHA005M-PYN,SDR,490110,4G-SHA005M-PYN,"","product:public,wcdma,gv3,ltefdd",uid=263#uuserlabel=#ufid=263#gid=134#guserlabel=#gfid=155#fddid=490110#fdduserlabel=4G-SHA005M-PYN#fddfid=490110,Baseband unit is being initialized,""
Major,Equipment Alarm,3G_HLG003M_QTI(117),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 07:49:51,"",ME(MO SDR),U RNCId: 3005; Control voltage abnormal; Board serial number: 249894500817; U nodeBId:117,Unacknowledged,"","","","","","","",UMTS,1584,1662661136689,10.248.180.76,"","MO_OMCB_RNC_3354Z_QTI,Subnet(MO SDR)(3354)",MO_OMCB_RNC_3354Z_QTI,Platform Alarm,"","",117,3G_HLG003M_QTI,SDR,117,3G_HLG003M_QTI,CC,"product:public,wcdma",uid=117#uuserlabel=#ufid=117,Lost of synchronization,""
Major,Equipment Alarm,GU_DBN023M_QNM(26),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 07:49:51,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254178300017; U nodeBId:26,G siteId:26",Unacknowledged,"","","","","","","","UMTS,GSM",31187,1662661136690,10.248.191.195,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",26,GU_DBN023M_QNM,SDR,26,GU_DBN023M_QNM,CC,"product:public,wcdma,gv3",uid=26#uuserlabel=GU_DBN023M_QNM#ufid=26#gid=26#guserlabel=#gfid=26,Lost of synchronization,""
Critical,Communications Alarm,GU_PSN014M_QNM(208),"","","",Link between OMM and NE broken(198099803),Link between OMM and NE broken.,2023-07-04 07:49:52,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; IP: 10.248.192.93; Detection time: 2023-07-04 07:49:03, The transmission of the gateway(IP: 10.248.192.81), which is configured in IP layer used by the OMC channel between OMMB and NE, is normal; Abnormal voltage: Detection time: 2023-07-04 07:46:17, current voltage: 42.4V, 2.2V dropped in five minutes; U nodeBId:208,G siteId:208",Unacknowledged,"","","","","","","","UMTS,GSM",0,1662661136691,10.248.192.93,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Wireless Public Alarm,"","",208,GU_PSN014M_QNM,SDR,208,GU_PSN014M_QNM,"","product:public,wcdma,gv3",uid=208#uuserlabel=#ufid=208#gid=208#guserlabel=#gfid=208,Link Broken Between OMM and NE,""
Critical,Communications Alarm,4G-PSN014M-QNM(510512),"","","",Link between OMM and NE broken(198099803),Link between OMM and NE broken.,2023-07-04 07:49:58,"",ME(MO SDR),"IP: 10.225.105.216; Detection time: 2023-07-04 07:49:08, The transmission of the gateway(IP: 10.225.105.209), which is configured in IP layer used by the OMC channel between OMMB and NE, is normal; L eNBId:510512",Unacknowledged,"","","","","","","",LTE FDD,0,1662661136692,10.225.105.216,"","MO SDR_OMMB1_VNPT,QNM(51000)",MO SDR_OMMB1_VNPT,Wireless Public Alarm,"","",510512,4G-PSN014M-QNM,SDR,510512,4G-PSN014M-QNM,"","product:public,ltefdd",fddid=510512#fdduserlabel=4G-PSN014M-QNM#fddfid=510512,Link Broken Between OMM and NE,""
Critical,Equipment Alarm,4G-VLH027M-QTI(530191),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",AC may no.(198092554),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 07:50:52,"",ME(MO SDR),Dry contact ID: 4; Board serial number: 724397500143; L eNBId:530191,Unacknowledged,"","","","","","","",LTE FDD,586,1662661136694,10.225.85.140,"","MO SDR_OMMB2_VNPT,QTI(53000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",530191,4G-VLH027M-QTI,SDR,530191,4G-VLH027M-QTI,SA,"product:public,ltefdd",fddid=530191#fdduserlabel=4G-VLH027M-QTI#fddfid=530191,User-defined dry contact alarm 5,""
Major,Equipment Alarm,3G_HNN074M_BDH(469),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 07:51:53,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254178300966; U nodeBId:469,Unacknowledged,"","","","","","","",UMTS,13782,1662661136698,10.248.200.77,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",469,3G_HNN074M_BDH,SDR,469,3G_HNN074M_BDH,CC,"product:public,wcdma",uid=469#uuserlabel=#ufid=469,Lost of synchronization,""
Major,Environmental Alarm,GU_PSN019M_QNM(174),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1","","",The temperature at the air intake is abnormal(198092042),Overtemperature: 1. The air intake or air filter is blocked. 2. The environment temperature is too high. 3. The alarm threshold related to the temperature is not properly set. Undertemperature: 1. The ambient temperature is too low. 2. The alarm threshold related to the temperature is not properly set.,2023-07-04 07:52:41,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Over temperature; Temperature: 55.5°C; U nodeBId:174,G siteId:174",Unacknowledged,"","","","","","","","UMTS,GSM",10,1662661136700,10.248.191.242,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"","",174,GU_PSN019M_QNM,SDR,174,GU_PSN019M_QNM,"","product:public,wcdma,gv3",uid=174#uuserlabel=#ufid=174#gid=174#guserlabel=#gfid=174,The temperature at the air intake is abnormal,""
