History Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Duration(hh:mm:ss),Cleared Time,Clear User ID,Clear System ID,Path Name,Clear Type,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Critical,Processing Error Alarm,UL-DHA028M-QTI(530279),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The license file will soon fall due(198097673),The license file will soon fall due.,2023-07-01 02:00:59,"",ME(MO SDR),"U RNCId: 3005; The temporary file is about to expire, and the default mode will be used; Expiration date: 2023-7-31; Board serial number: 739543300924; U nodeBId:338,L eNBId:530279,N eNBId:530279",Acknowledged,2023-07-04 10:02:07,Rule:System:Global,EMS Server(10.212.162.144),"","","","","UMTS,NB-IoT,LTE FDD",75,1662661115347,10.225.85.238,"","MO SDR_OMMB2_VNPT,QTI(53000)",MO SDR_OMMB2_VNPT,Platform Alarm,"",80:01:08,2023-07-04 10:02:07,"","","",By Sync Alarm,530279,UL-DHA028M-QTI,SDR,530279,UL-DHA028M-QTI,CCE1B,"product:public,wcdma,ltefdd,NB-IoT",uid=338#uuserlabel=#ufid=338##fddid=530279#fdduserlabel=UL-DHA028M-QTI#fddfid=530279#nid=530279#nuserlabel=UL-DHA028M-QTI#nfid=530279,The license file will soon fall due,""
Critical,Equipment Alarm,4G-VLH027M-QTI(530191),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",AC may no.(198092554),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 07:50:52,"",ME(MO SDR),Dry contact ID: 4; Board serial number: 724397500143; L eNBId:530191,Unacknowledged,"","","","","","","",LTE FDD,586,1662661136694,10.225.85.140,"","MO SDR_OMMB2_VNPT,QTI(53000)",MO SDR_OMMB2_VNPT,Platform Alarm,"",02:16:18,2023-07-04 10:07:10,"","","",Normal,530191,4G-VLH027M-QTI,SDR,530191,4G-VLH027M-QTI,SA,"product:public,ltefdd",fddid=530191#fdduserlabel=4G-VLH027M-QTI#fddfid=530191,User-defined dry contact alarm 5,""
Critical,Equipment Alarm,GU_NTM006M_QNM(183),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Rectifier Failure Alarm(198092551),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 09:12:07,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Dry contact ID: 5; Board serial number: 249862800977; U nodeBId:183,G siteId:183",Unacknowledged,"","","","","","","","UMTS,GSM",4672,1662661137204,10.248.192.146,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"",00:54:29,2023-07-04 10:06:36,"","","",Normal,183,GU_NTM006M_QNM,SDR,183,GU_NTM006M_QNM,SA,"product:public,wcdma,gv3",uid=183#uuserlabel=#ufid=183#gid=183#guserlabel=#gfid=183,ILP Sector 1 Surge Protection Alarm,""
Critical,Processing Error Alarm,RNC_3352Z_QNM(3352),"EQRNCID=3352,RACKNO=1,SHELFNO=3,SLOTNO=3,CPUNO=1",GU_DBN022M_QNM(18),"",Cell is out of service(198083022),The cell CGID reported by the Node B after audit is zero.,2023-07-04 09:36:05,"",ME(UMTS),NodeB ID:18; Cell ID:181; Alarm sub code:8; Cell support MBMS or not:Cell does not support MBMS; Slave No.:9; User plane resource Unit ID:7; the Module No. of the board:1; Unit No. of the board:13; Processor No. of the board:1; Subsystem No. of the board:4,Unacknowledged,"","","","","","","",UMTS,30880,1662661137406,10.9.52.129,"","OMCR_RNC_3352Z_QNM,SUBNET(UMTS)(3352)",OMCR_RNC_3352Z_QNM,UMTS Controller Alarm(V3),"",00:26:20,2023-07-04 10:02:25,"","","",Normal,18,GU_DBN022M_QNM,CELL,181,3G_DBN022M11_QNM,RCB,"product:wcdma,wcdma",CRC=0#MO=301#OTYPE=UIubLink#NENAME=RNC_3352Z_QNM#RAISETIME=2023-07-04 09:36:05,Cell is out of service,The cell CGID reported by the Node B after audit is zero.
Critical,Processing Error Alarm,RNC_3352Z_QNM(3352),"EQRNCID=3352,RACKNO=1,SHELFNO=3,SLOTNO=3,CPUNO=1",GU_DBN022M_QNM(18),"",Cell is out of service(198083022),The cell CGID reported by the Node B after audit is zero.,2023-07-04 09:36:05,"",ME(UMTS),NodeB ID:18; Cell ID:184; Alarm sub code:8; Cell support MBMS or not:Cell does not support MBMS; Slave No.:9; User plane resource Unit ID:3; the Module No. of the board:1; Unit No. of the board:12; Processor No. of the board:1; Subsystem No. of the board:4,Unacknowledged,"","","","","","","",UMTS,30881,1662661137407,10.9.52.129,"","OMCR_RNC_3352Z_QNM,SUBNET(UMTS)(3352)",OMCR_RNC_3352Z_QNM,UMTS Controller Alarm(V3),"",00:26:30,2023-07-04 10:02:35,"","","",Normal,18,GU_DBN022M_QNM,CELL,184,3G_DBN022M21_QNM,RCB,"product:wcdma,wcdma",CRC=0#MO=301#OTYPE=UIubLink#NENAME=RNC_3352Z_QNM#RAISETIME=2023-07-04 09:36:05,Cell is out of service,The cell CGID reported by the Node B after audit is zero.
Major,Equipment Alarm,GU_DBN023M_QNM(26),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 09:43:02,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254178300017; U nodeBId:26,G siteId:26",Unacknowledged,"","","","","","","","UMTS,GSM",31203,1662661137434,10.248.191.195,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"",00:22:07,2023-07-04 10:05:09,"","","",Restoration upon Anti-shake,26,GU_DBN023M_QNM,SDR,26,GU_DBN023M_QNM,CC,"product:public,wcdma,gv3",uid=26#uuserlabel=GU_DBN023M_QNM#ufid=26#gid=26#guserlabel=#gfid=26,Lost of synchronization,""
Major,Equipment Alarm,GU_TKY040M_QNM(294),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 09:44:57,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Control voltage abnormal; Board serial number: 254399200439; U nodeBId:294,G siteId:133",Unacknowledged,"","","","","","","","UMTS,GSM",1861,1662661137442,10.248.190.10,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"",00:22:12,2023-07-04 10:07:09,"","","",Restoration upon Anti-shake,294,GU_TKY040M_QNM,SDR,294,GU_TKY040M_QNM,CC,"product:public,wcdma,gv3",uid=294#uuserlabel=#ufid=294#gid=133#guserlabel=#gfid=133,Lost of synchronization,""
Major,Equipment Alarm,3G_HNN074M_BDH(469),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 09:45:27,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254178300966; U nodeBId:469,Unacknowledged,"","","","","","","",UMTS,13792,1662661137445,10.248.200.77,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",00:22:04,2023-07-04 10:07:31,"","","",Restoration upon Anti-shake,469,3G_HNN074M_BDH,SDR,469,3G_HNN074M_BDH,CC,"product:public,wcdma",uid=469#uuserlabel=#ufid=469,Lost of synchronization,""
Major,Equipment Alarm,3G_STH029M_QNI(400),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 09:45:58,"",ME(MO SDR),U RNCId: 3003; Control voltage abnormal; Board serial number: 254437701180; U nodeBId:400,Unacknowledged,"","","","","","","",UMTS,29102,1662661137451,10.248.196.232,"","MO_OMCB_RNC_3003Z_QNI,Subnet(MO SDR)(3003)",MO_OMCB_RNC_3003Z_QNI,Platform Alarm,"",00:22:00,2023-07-04 10:07:58,"","","",Restoration upon Anti-shake,400,3G_STH029M_QNI,SDR,400,3G_STH029M_QNI,CC,"product:public,wcdma",uid=400#uuserlabel=#ufid=400#,Lost of synchronization,""
Critical,Equipment Alarm,UL-THA060M-QBH(500734),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Rectifier Failure Alarm(198092551),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 09:48:52,"",ME(MO SDR),"U RNCId: 3022; Dry contact ID: 1; Board serial number: 710434400513; U nodeBId:739,L eNBId:500734",Unacknowledged,"","","","","","","","UMTS,LTE FDD",1323,1662661137472,10.225.83.20,"","MO SDR_OMMB3_VNPT,QBH(50000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:14:16,2023-07-04 10:03:08,"","","",Restoration upon Anti-shake,500734,UL-THA060M-QBH,SDR,500734,UL-THA060M-QBH,SA,"product:public,wcdma,ltefdd",uid=739#uuserlabel=#ufid=739#fddid=500734#fdduserlabel=UL-THA060M-QBH#fddfid=500734,User-defined dry contact alarm 2,""
