Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Equipment Alarm,3G_VLH035M_QTI(209),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 10:19:06,"",ME(MO SDR),U RNCId: 3354; Control voltage abnormal; Board serial number: 249894500078; U nodeBId:209,Unacknowledged,"","","","","","","",UMTS,30853,1662661137702,10.248.179.195,"","MO_OMCB_RNC_3354Z_QTI,Subnet(MO SDR)(3354)",MO_OMCB_RNC_3354Z_QTI,Platform Alarm,"","",209,3G_VLH035M_QTI,SDR,209,3G_VLH035M_QTI,CC,"product:public,wcdma",uid=209#uuserlabel=#ufid=209,Lost of synchronization,""
Critical,Processing Error Alarm,GU_LTY041M_QBH(173),"Equipment=1,Rack(MO SDR)=55,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The RRU link is broken(198097605),1. The optical fiber between the BBU and the RRU or between upper-level and lower-level RRUs is not operating properly. 2. The optical module of the RRU or the optical module of the uplink BBU is faulty. 3. The RRU is not powered. 4. The interface board of the BBU is faulty. 5. The RRU is faulty. 6. The lr line bit rate is not correctly set.,2023-07-04 10:19:14,"",ME(MO SDR),"U RNCId: 3022; Uplink port of optical port 1:does not receive optical signals; Board serial number: 219997632175; U nodeBId:173; Topology: Optical board=(1,1,3), Optical board port=4, Optical board port type is SFP, Fault board rack=55, Fault board main cascade=1",Unacknowledged,"","","","","","","",UMTS,41,1662661137703,10.248.178.148,"","OMCB_RNC_3022Z_QBH,RNC3022_QBH(3022)",OMCB_RNC_3022Z_QBH,Platform Alarm,"","",173,GU_LTY041M_QBH,RU,55,"",RTR-U216,"product:public,wcdma",uid=173#uuserlabel=#ufid=173#gid=117#guserlabel=#gfid=117,The RRU link is broken,""
Minor,Equipment Alarm,UL-QSN030M-QNM(510462),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",High Temperature Alarm(198092553),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 10:20:45,"",ME(MO SDR),"U RNCId: 3352; Dry contact ID: 3; Board serial number: 731016900403; U nodeBId:430,L eNBId:510462",Unacknowledged,"","","","","","","","UMTS,LTE FDD",223,1662661137717,10.225.109.135,"","MO SDR_OMMB1_VNPT,QNM(51000)",MO SDR_OMMB1_VNPT,Platform Alarm,"","",510462,UL-QSN030M-QNM,SDR,510462,UL-QSN030M-QNM,SA,"product:public,wcdma,ltefdd",uid=430#uuserlabel=#ufid=430#fddid=510462#fdduserlabel=UL-QSN030M-QNM#fddfid=510462,High Temperature Alarm,""
Major,Equipment Alarm,3G_HLG003M_QTI(117),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 10:21:54,"",ME(MO SDR),U RNCId: 3005; Control voltage abnormal; Board serial number: 249894500817; U nodeBId:117,Unacknowledged,"","","","","","","",UMTS,1586,1662661137722,10.248.180.76,"","MO_OMCB_RNC_3354Z_QTI,Subnet(MO SDR)(3354)",MO_OMCB_RNC_3354Z_QTI,Platform Alarm,"","",117,3G_HLG003M_QTI,SDR,117,3G_HLG003M_QTI,CC,"product:public,wcdma",uid=117#uuserlabel=#ufid=117,Lost of synchronization,""
Minor,Equipment Alarm,UL-BTH131M-QBH(500747),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 10:22:10,"",ME(MO SDR),"U RNCId: 3022; Dry contact ID: 0; Board serial number: 724397500780; U nodeBId:752,L eNBId:500747",Unacknowledged,"","","","","","","","UMTS,LTE FDD",146,1662661137723,10.225.83.154,"","MO SDR_OMMB3_VNPT,QBH(50000)",MO SDR_OMMB3_VNPT,Platform Alarm,"","",500747,UL-BTH131M-QBH,SDR,500747,UL-BTH131M-QBH,SA,"product:public,wcdma,ltefdd",uid=752#uuserlabel=#ufid=752#fddid=500747#fdduserlabel=UL-BTH131M-QBH#fddfid=500747,User-defined dry contact alarm 1,""
Critical,Equipment Alarm,UL-THA060M-QBH(500734),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Rectifier Failure Alarm(198092551),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 10:22:16,"",ME(MO SDR),"U RNCId: 3022; Dry contact ID: 1; Board serial number: 710434400513; U nodeBId:739,L eNBId:500734",Unacknowledged,"","","","","","","","UMTS,LTE FDD",1327,1662661137724,10.225.83.20,"","MO SDR_OMMB3_VNPT,QBH(50000)",MO SDR_OMMB3_VNPT,Platform Alarm,"","",500734,UL-THA060M-QBH,SDR,500734,UL-THA060M-QBH,SA,"product:public,wcdma,ltefdd",uid=739#uuserlabel=#ufid=739#fddid=500734#fdduserlabel=UL-THA060M-QBH#fddfid=500734,User-defined dry contact alarm 2,""
Minor,Equipment Alarm,4G-PNH022M-QNM(510261),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 10:22:22,"",ME(MO SDR),Dry contact ID: 0; Board serial number: 717861000162; L eNBId:510261,Unacknowledged,"","","","","","","",LTE FDD,1826,1662661137725,10.225.107.125,"","MO SDR_OMMB1_VNPT,QNM(51000)",MO SDR_OMMB1_VNPT,Platform Alarm,"","",510261,4G-PNH022M-QNM,SDR,510261,4G-PNH022M-QNM,SA,"product:public,ltefdd",fddid=510261#fdduserlabel=4G-PNH022M-QNM#fddfid=510261,Mains Failure Alarm,""
Major,Equipment Alarm,GU_DXN019M_QNM(32),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 10:22:27,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254437700281; U nodeBId:32,G siteId:32",Unacknowledged,"","","","","","","","UMTS,GSM",31079,1662661137726,10.248.190.178,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",32,GU_DXN019M_QNM,SDR,32,GU_DXN019M_QNM,CC,"product:public,wcdma,gv3",uid=32#uuserlabel=GU_DXN019M_QNM#ufid=32#gid=32#guserlabel=#gfid=32,Lost of synchronization,""
Major,Equipment Alarm,GU_PMY005M_BDH(21),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 10:22:28,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3350; Control voltage abnormal; Board serial number: 254437701210; U nodeBId:21,G siteId:229",Unacknowledged,"","","","","","","","UMTS,GSM",13,1662661137727,10.248.199.121,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",21,GU_PMY005M_BDH,SDR,21,GU_PMY005M_BDH,CC,"product:public,wcdma,gv3",uid=21#uuserlabel=#ufid=21#gid=229#guserlabel=#gfid=229,Lost of synchronization,""
Critical,Processing Error Alarm,3G_SHH011M_PYN(101),"Equipment=1,Rack(MO SDR)=62,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The RRU link is broken(198097605),1. The optical fiber between the BBU and the RRU or between upper-level and lower-level RRUs is not operating properly. 2. The optical module of the RRU or the optical module of the uplink BBU is faulty. 3. The RRU is not powered. 4. The interface board of the BBU is faulty. 5. The RRU is faulty. 6. The lr line bit rate is not correctly set.,2023-07-04 10:21:41,"",ME(MO SDR),"U RNCId: 3002; Uplink port of optical port 1:does not receive optical signals; Board serial number: 219997713347; U nodeBId:101; Topology: Optical board=(1,1,3), Optical board port=4, Optical board port type is SFP, Fault board rack=62, Fault board main cascade=1",Unacknowledged,"","","","","","","",UMTS,276,1662661137730,10.248.201.134,"","OMCB_RNC_3007Z_PYN,Subnet(MO SDR)(3007)",OMCB_RNC_3007Z_PYN,Platform Alarm,"","",101,3G_SHH011M_PYN,RU,62,Rack,RTR-U216,"product:public,wcdma",uid=101#uuserlabel=NodeBO_Duc-Binh-Tay_PYN#ufid=101,The RRU link is broken,""
